project_id,repo_name,path_with_namespace,last_activity_at,is_active,activity_status,is_active_by_last_activity,has_mr_activity,mr_count_in_window,merged_mrs,open_mrs,closed_without_merge_mrs,web_url
632,cardpointe-ui,ProdDev/cardpointe/cardpointe-ui/cardpointe-ui,2026-06-09T12:46:19.181Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,316,266,4,46,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-ui/cardpointe-ui
1052,GWGF,ProdDev/gateway/gateway-qa/GWGF,2026-06-08T20:21:28.926Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,290,271,0,19,https://gitlab.ftscc.net/ProdDev/gateway/gateway-qa/GWGF
373,argocd-applicationsets,ProdDev/k8s/argocd-applicationsets,2026-06-08T16:58:20.239Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,260,247,1,12,https://gitlab.ftscc.net/ProdDev/k8s/argocd-applicationsets
572,copilot-ui,ProdDev/copilot/cipilot-ui/copilot-ui,2026-06-08T16:37:08.071Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,195,173,0,22,https://gitlab.ftscc.net/ProdDev/copilot/cipilot-ui/copilot-ui
982,gs-cardpointe-umbrella-helm-poc,ProdDev/cardpointe/gs-cardpointe-umbrella-helm-poc,2026-04-14T20:35:42.356Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,138,137,1,0,https://gitlab.ftscc.net/ProdDev/cardpointe/gs-cardpointe-umbrella-helm-poc
588,cp2-starter,ProdDev/cardpointe/cardpointe-backend/cp2-starter,2026-06-05T18:35:30.034Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,109,105,3,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/cp2-starter
942,digital-app-ui,ProdDev/copilot/cipilot-ui/digital-app-ui,2026-06-08T15:55:42.029Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,91,86,0,5,https://gitlab.ftscc.net/ProdDev/copilot/cipilot-ui/digital-app-ui
439,micros.management.ui,ProdDev/pineapple/micros/micros.management.ui,2026-06-05T05:40:43.848Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,77,74,0,3,https://gitlab.ftscc.net/ProdDev/pineapple/micros/micros.management.ui
690,cc-initializr,ProdDev/cardpointe/cardpointe-backend/cc-initializr,2026-06-04T16:29:29.932Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,56,55,0,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/cc-initializr
478,gateway-batch-search-service,ProdDev/cardpointe/cardpointe-backend/gateway-batch-search-service,2026-04-20T18:22:57.340Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,55,54,0,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/gateway-batch-search-service
371,micros.opi,ProdDev/pineapple/micros/micros.opi,2026-06-02T17:23:24.187Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,51,51,0,0,https://gitlab.ftscc.net/ProdDev/pineapple/micros/micros.opi
526,ansible-role-keycloak-deploy,ProdDev/cicd/ansible-role-keycloak-deploy,2026-05-29T00:00:21.870Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,50,48,2,0,https://gitlab.ftscc.net/ProdDev/cicd/ansible-role-keycloak-deploy
511,Api Save Merchant Application,ProdDev/copilot/copilot-backend/api-save-merchant-application,2026-06-04T14:16:19.565Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,38,35,0,3,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-save-merchant-application
761,funded-transaction-service-publisher-tsys,ProdDev/apps/mic/funded-transaction-service-publisher-tsys,2026-06-02T14:58:35.103Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,38,38,0,0,https://gitlab.ftscc.net/ProdDev/apps/mic/funded-transaction-service-publisher-tsys
370,micros.management,ProdDev/pineapple/micros/micros.management,2026-06-05T18:48:22.416Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,37,37,0,0,https://gitlab.ftscc.net/ProdDev/pineapple/micros/micros.management
658,transaction-summary-preview-api-service-config,ProdDev/cardpointe/cardpointe-backend-config/transaction-summary-preview-api-service-config,2026-05-12T18:23:48.813Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,36,36,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend-config/transaction-summary-preview-api-service-config
837,Api Search Merchant Account Table,ProdDev/copilot/copilot-backend/api-search-merchant-account-table,2026-06-04T14:16:39.394Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,35,34,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-search-merchant-account-table
328,mvn_build,ProdDev/cicd-components/mvn_build,2026-05-08T00:00:21.022Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,35,35,0,0,https://gitlab.ftscc.net/ProdDev/cicd-components/mvn_build
854,Api Create Saved View,ProdDev/copilot/copilot-backend/api-create-saved-view,2026-06-04T14:04:18.034Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,34,33,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-create-saved-view
756,billing-plan-update-api-service,ProdDev/cardpointe/cardpointe-backend/billing-plan-update-api-service,2025-10-02T17:30:16.385Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,34,33,0,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/billing-plan-update-api-service
630,Api Create Merchant Attachment,ProdDev/copilot/copilot-backend/api-create-merchant-attachment,2026-06-04T14:31:41.367Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,32,27,0,5,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-create-merchant-attachment
919,Api Get Retrieval Reports,ProdDev/copilot/copilot-backend/api-get-retrieval-reports,2026-06-04T14:09:54.391Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,32,32,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-retrieval-reports
924,Api Get Merchant Chargebacks Report,ProdDev/copilot/copilot-backend/api-get-merchant-chargebacks-report,2026-06-04T14:09:21.801Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,32,32,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-chargebacks-report
550,Api Get Merchant Application,ProdDev/copilot/copilot-backend/api-get-merchant-application,2026-06-04T14:06:49.142Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,32,30,0,2,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-application
857,Api Update Saved View,ProdDev/copilot/copilot-backend/api-update-saved-view,2026-06-04T14:21:30.381Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,31,30,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-update-saved-view
745,Api Get Merchant Account Banking And Processing,ProdDev/copilot/copilot-backend/api-get-merchant-account-banking-and-processing,2026-06-04T14:04:22.872Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,31,29,0,2,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-account-banking-and-processing
567,gateway-batch-search-service-config,ProdDev/cardpointe/cardpointe-backend-config/gateway-batch-search-service-config,2026-05-27T20:22:53.938Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,30,30,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend-config/gateway-batch-search-service-config
944,Api Get Merchant Overview,ProdDev/copilot/copilot-backend/api-get-merchant-overview,2026-06-04T14:09:41.506Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,29,28,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-overview
856,Api Get Saved Views,ProdDev/copilot/copilot-backend/api-get-saved-views,2026-06-04T14:09:58.702Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,28,28,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-saved-views
930,Api Get Retrieval Detail,ProdDev/copilot/copilot-backend/api-get-retrieval-detail,2026-06-04T14:09:48.709Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,28,28,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-retrieval-detail
929,Api Get Merchant Chargeback Detail,ProdDev/copilot/copilot-backend/api-get-merchant-chargeback-detail,2026-06-04T14:09:14.512Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,28,28,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-chargeback-detail
869,Api Delete Saved View,ProdDev/copilot/copilot-backend/api-delete-saved-view,2026-06-04T14:04:21.536Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,28,28,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-delete-saved-view
880,Api Search Service Template,ProdDev/copilot/copilot-backend/templates/api-search-service-template,2026-06-03T13:46:27.010Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,28,28,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/templates/api-search-service-template
633,Api Delete Merchant Attachment,ProdDev/copilot/copilot-backend/api-delete-merchant-attachment,2026-06-04T14:24:58.454Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,27,26,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-delete-merchant-attachment
839,Api Export Merchant Account Table,ProdDev/copilot/copilot-backend/api-export-merchant-account-table,2026-06-04T14:23:23.674Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,27,26,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-export-merchant-account-table
836,Api Get Copilot Form Fields,ProdDev/copilot/copilot-backend/api-get-copilot-form-fields,2026-06-04T14:22:40.617Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,27,27,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-copilot-form-fields
886,Api Get Merchant Account Preview,ProdDev/copilot/copilot-backend/api-get-merchant-account-preview,2026-06-04T14:22:13.936Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,27,27,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-account-preview
723,Api Get Merchant Account Summary,ProdDev/copilot/copilot-backend/api-get-merchant-account-summary,2026-06-04T14:05:50.699Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,27,26,0,1,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-account-summary
506,virtual-terminal-auth-capture-transaction-service,ProdDev/cardpointe/cardpointe-backend/virtual-terminal-auth-capture-transaction-service,2026-05-21T19:15:26.054Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,26,24,0,2,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/virtual-terminal-auth-capture-transaction-service
891,Api Export Service Template,ProdDev/copilot/copilot-backend/templates/api-export-service-template,2026-06-03T13:47:02.356Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,25,25,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/templates/api-export-service-template
662,transaction-details-api-service-config,ProdDev/cardpointe/cardpointe-backend-config/transaction-details-api-service-config,2026-05-27T21:34:44.828Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,25,25,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend-config/transaction-details-api-service-config
620,Api Create Merchant Application,ProdDev/copilot/copilot-backend/api-create-merchant-application,2026-06-04T14:04:05.966Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,24,22,0,2,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-create-merchant-application
486,transaction-summary-preview-api-service,ProdDev/cardpointe/cardpointe-backend/transaction-summary-preview-api-service,2026-05-12T18:17:45.513Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,24,23,0,1,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/transaction-summary-preview-api-service
631,Api Get Merchant Attachment,ProdDev/copilot/copilot-backend/api-get-merchant-attachment,2026-06-04T14:07:53.696Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,23,20,0,3,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-attachment
498,Api Service Template,ProdDev/copilot/copilot-backend/templates/api-service-template,2026-06-03T13:47:24.837Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,23,23,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/templates/api-service-template
752,Api Save Merchant Account Banking And Processing,ProdDev/copilot/copilot-backend/api-save-merchant-account-banking-and-processing,2026-06-04T14:15:48.313Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,22,22,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-save-merchant-account-banking-and-processing
728,Api Get Merchant Account Business Details,ProdDev/copilot/copilot-backend/api-get-merchant-account-business-details,2026-06-04T14:04:25.298Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,22,20,0,2,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-merchant-account-business-details
474,mts-aggregator-service,ProdDev/cardpointe/cardpointe-backend/mts-aggregator-service,2026-05-12T19:04:11.067Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,22,22,0,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/mts-aggregator-service
751,Api Save Merchant Account Business Details,ProdDev/copilot/copilot-backend/api-save-merchant-account-business-details,2026-06-04T14:16:04.336Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,21,21,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-save-merchant-account-business-details
798,Api Get Terms And Conditions,ProdDev/copilot/copilot-backend/api-get-terms-and-conditions,2026-06-04T14:10:42.793Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,20,20,0,0,https://gitlab.ftscc.net/ProdDev/copilot/copilot-backend/api-get-terms-and-conditions
931,ticket-create-api-service,ProdDev/cardpointe/cardpointe-backend/ticket-create-api-service,2026-06-03T19:29:13.457Z,TRUE,active_recent_activity_and_mrs,TRUE,TRUE,20,19,1,0,https://gitlab.ftscc.net/ProdDev/cardpointe/cardpointe-backend/ticket-create-api-service
